ID,Category,Name,Price (EGP),Alcohol Percentage,ON SALE OR OFFER,notes,Description
1,Beer,Desperados Can 330ml,55,4.5%,no,,Desperados Can 330ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
2,Beer,Heineken Bottle 330ml,55,5%,no,,"Heineken Bottle 330ml (1) is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
4,Beer,Heineken Can 330ml,55,5%,no,,Heineken Can 330ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
5,Beer,Heineken Can 500ml,70,5%,,,"Heineken Can 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
6,Beer,Meister Max Bottle 330ml,55,8%,yes,,Meister Max Bottle 330ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
7,Beer,Meister Max Can 500ml,60,8%,yes,,"Meister Max Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
new,,Meister Max Bottle 500ml,65,8%,yes,,
8,Beer,Sakara El King Bottle 500ml,70,10%,yes,,Sakara El King Bottle 500ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
9,Beer,Sakara ElKing Can 500ml,70,10%,yes,,"Sakara ElKing Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
10,Beer,Sakara Gold Bottle 500ml,60,4%,yes,,"Sakara Gold Bottle 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
11,Beer,Sakara king Can 500ml,80,15%,yes,,"Sakara king Can 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
12,Beer,Sol Bottle 330ml,55,4.5%,,,"Sol Bottle 330ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
new,Beer,Sakara Can 500ml,80,15%,,,
13,Beer,Stella 330ml Bottle,50,4.5%,,,"Stella 330ml Bottle is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
14,Beer,Stella Can 330ml,50,4.5%,,,Stella Can 330ml is a testament to quality and tradition. Rich and malty with a robust flavor profile and smooth head. Enjoy responsibly and elevate your next celebration with this exquisite choice.
15,Beer,Stella Can 500ml,60,4.5%,,,"Stella Can 500ml is a testament to quality and tradition. Light, easily drinkable with subtle citrus notes. Enjoy responsibly and elevate your next celebration with this exquisite choice."
16,Beer,Stella One Way Bottle 500ml,60,4.5%,,,Stella One Way Bottle 500ml is a testament to quality and tradition. A classic premium brew crafted with the finest hops and barley. Enjoy responsibly and elevate your next celebration with this exquisite choice.
17,Beer,Stella Returnable Bottle 500ml,50,4.5%,,,"Stella Returnable Bottle 500ml is a testament to quality and tradition. A refreshing, crisp brew with a clean finish and balanced bitterness. Enjoy responsibly and elevate your next celebration with this exquisite choice."
18,Spirits,Champollion Brandy 250ml,75,40%,,,"Champollion Brandy 250ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
19,Spirits,Champollion Brandy 500ml,120,40%,,,"Champollion Brandy 500ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
20,Spirits,Yanni Brandy 1L,175,40%,yes,,"Yanni Brandy 1L is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
21,Spirits,Butler’s Gin 750ml,525,40%,,,"Butler’s Gin 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
22,Spirits,Harry’s Premium Gin 750ml,500,40%,,,"Harry’s Premium Gin 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
23,Spirits,Mosaic Gin The Bartender Edition 750ml,220,40%,,,"Mosaic Gin The Bartender Edition 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
24,Spirits,Yanni Gin 1L,175,40%,yes,,"Yanni Gin 1L is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
25,RTDs,BUTLERS Apple Cin 10%,60,10%,yes,,BUTLERS Apple Cin 10% is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
26,RTDs,Blue40 Freeze Original,60,10%,yes,,"Blue40 Freeze Original is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
27,RTDs,Blue40 Freeze Pink Berry,60,10%,yes,,Blue40 Freeze Pink Berry is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
28,RTDs,Blue40 Freeze Sky Colada,60,10%,yes,,Blue40 Freeze Sky Colada is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
29,RTDs,Butler's Gin Lemon Mint 275ml,60,10%,yes,,Butler's Gin Lemon Mint 275ml is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
30,RTDs,Butler's XXX Gin Lemon Mint 275ml,65,15%,yes,,"Butler's XXX Gin Lemon Mint 275ml is a testament to quality and tradition. A convenient, perfectly mixed cocktail ready to enjoy. Enjoy responsibly and elevate your next celebration with this exquisite choice."
32,RTDs,ID Double Edge Energy 275ml,60,10%,yes,,ID Double Edge Energy 275ml is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
34,RTDs,ID Double Edge Watermelon 275ml,60,10%,yes,,ID Double Edge Watermelon 275ml is a testament to quality and tradition. Chill and serve for an instant premium bar experience. Enjoy responsibly and elevate your next celebration with this exquisite choice.
35,RTDs,ID XXX Cherry 275ml,65,15%,yes,,"ID XXX Cherry 275ml is a testament to quality and tradition. A convenient, perfectly mixed cocktail ready to enjoy. Enjoy responsibly and elevate your next celebration with this exquisite choice."
36,RTDs,ID XXXX Mango 275ml,75,20%,yes,,"ID XXXX Mango 275ml is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
37,RTDs,ID XXXX Pineapple & Coconut 275ml,75,20%,yes,,ID XXXX Pineapple & Coconut 275ml is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
38,RTDs,ID XXXX Watermelon 275ml,75,20%,yes,,"ID XXXX Watermelon 275ml is a testament to quality and tradition. Refreshing and vibrant, delivering a burst of fruit flavors. Enjoy responsibly and elevate your next celebration with this exquisite choice."
39,RTDs,Watermelon 15%,65,15%,yes,,Watermelon 15% is a testament to quality and tradition. The perfect balance of premium spirits and natural mixers. Enjoy responsibly and elevate your next celebration with this exquisite choice.
40,Spirits,Skinos Mastiha Spirit 350ml,1750,30%,,,"Skinos Mastiha Spirit 350ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
41,Spirits,Tequila Malvado Gold 750ml,250,40%,,,"Tequila Malvado Gold 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
42,Spirits,Yanni Tequila 1L,175,40%,,,"Yanni Tequila 1L is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
43,Spirits,Auld Stag Whisky 350ml,130,40%,,,"Auld Stag Whisky 350ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
44,Spirits,Auld Stag Whisky 750 ml,250,40%,,,"Auld Stag Whisky 750 ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
45,Spirits,Black Rhino Whisky 750ml,500,40%,,,"Black Rhino Whisky 750ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
46,Spirits,Devlin Blended Whiskey 750ml,550,40%,,,"Devlin Blended Whiskey 750ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
47,Spirits,Devlin Whiskey 750ml,850,40%,,,"Devlin Whiskey 750ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
48,Spirits,Excellence Whisky 250ml,75,40%,,,"Excellence Whisky 250ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
49,Spirits,Excellence Whisky 500ml,120,40%,,,"Excellence Whisky 500ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
50,Spirits,Mosaic Whisky The Bartender Edition 750ml,220,40%,,,"Mosaic Whisky The Bartender Edition 750ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
51,Spirits,Yanni Whisky 1L,175,40%,,,"Yanni Whisky 1L is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
52,Spirits,Arak Kesrouan 500ml,300,50%,,,"Arak Kesrouan 500ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
53,Spirits,{08B71497-789B-4980-BB4B-7AA246E12918},,40%,,,"{08B71497-789B-4980-BB4B-7AA246E12918} is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
54,Spirits,Mosaic Cognac Style 750ml,375,40%,,,"Mosaic Cognac Style 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
55,Spirits,Greeco Ouzo 250ml,75,38%,,,"Greeco Ouzo 250ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
56,Spirits,Greeco Ouzo 500ml,120,38%,,,"Greeco Ouzo 500ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
57,Spirits,Mosaic Ouzo The Bartender Edition 750ml,220,38%,,,"Mosaic Ouzo The Bartender Edition 750ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
58,Spirits,Yanni Ouzo 1L,175,38%,,,"Yanni Ouzo 1L is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
59,Spirits,Mosaic Rum Gold The Bartender Edition 750ml,220,40%,,,"Mosaic Rum Gold The Bartender Edition 750ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
60,Spirits,Mosaic Rum White The Bartender Edition 750ml,220,40%,,,"Mosaic Rum White The Bartender Edition 750ml is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
61,Spirits,Rum Cubana 750ml,380,40%,,,"Rum Cubana 750ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
62,Spirits,Yanni Rum 1L,175,40%,,,"Yanni Rum 1L is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
63,Spirits,99 Vodka 250ml,75,40%,,,"99 Vodka 250ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
64,Spirits,99 Vodka 500ml,120,40%,,,"99 Vodka 500ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
65,Spirits,BLUE 40 Citrus Vodka 38%,440,40%,,,"BLUE 40 Citrus Vodka 38% is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
66,Spirits,BLUE 40 Raspberry 38%,440,40%,,,"BLUE 40 Raspberry 38% is a testament to quality and tradition. Rich and warming with notes of caramel, spice, and a hint of smoke. Enjoy responsibly and elevate your next celebration with this exquisite choice."
67,Spirits,ID Vodka 350ml,130,40%,,,"ID Vodka 350ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
68,Spirits,ID Vodka 750ml,250,40%,,,"ID Vodka 750ml is a testament to quality and tradition. Triple distilled for ultimate purity and a clean, crisp taste. Enjoy responsibly and elevate your next celebration with this exquisite choice."
69,Spirits,ID Vodka Blue40 750ml,440,40%,,,"ID Vodka Blue40 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
70,Spirits,Mosaic Vodka The Bartender Edition 750ml,220,40%,,,"Mosaic Vodka The Bartender Edition 750ml is a testament to quality and tradition. Aged to perfection in oak barrels, delivering a smooth and complex flavor. Enjoy responsibly and elevate your next celebration with this exquisite choice."
71,Spirits,Swan Premium Vodka 750ml,400,40%,,,"Swan Premium Vodka 750ml is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
72,Spirits,Yanni Vodka 1L,175,40%,,,"Yanni Vodka 1L is a testament to quality and tradition. A premium spirit, perfect neat or as the base for exquisite cocktails. Enjoy responsibly and elevate your next celebration with this exquisite choice."
73,Wine,Baila Rose Wine 750ml Discovery Vineyards Range,525,12.5%,,,Baila Rose Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
74,Wine,Beausoleil Rose Wine 750ml,375,12.5%,,,"Beausoleil Rose Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
75,Wine,Lavita Rose Sparkling Wine 750ml,385,12.5%,,,"Lavita Rose Sparkling Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
76,Wine,Le Baron Rose Sparkling Wine 750ml,750,12.5%,,,Le Baron Rose Sparkling Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
77,Wine,Omar Khayyam Rose Wine 750ml,260,12.5%,,,"Omar Khayyam Rose Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
78,Wine,Shahrazade Rose Wine 750ml,240,12.5%,,,"Shahrazade Rose Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
79,Wine,XO Rose Wine 750ml,290,12.5%,,,XO Rose Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
80,Wine,Baila Red Wine 750ml Discovery Vineyards Range,525,12.5%,,,"Baila Red Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
81,Wine,Beausoleil Red Wine Cabernet Sauvignon 750ml,375,12.5%,,,"Beausoleil Red Wine Cabernet Sauvignon 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
82,Wine,Beausoleil Red Wine Syrah 750ml,375,12.5%,,,"Beausoleil Red Wine Syrah 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
83,Wine,Chateau Byblos Red Wine 750ml Discovery Vineyards Range,475,12.5%,,,"Chateau Byblos Red Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
84,Wine,Chateau de Grandville Red Wine 750ml,550,12.5%,,,Chateau de Grandville Red Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
85,Wine,Jardin du Nil Red Wine 750ml,400,12.5%,,,"Jardin du Nil Red Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
86,Wine,Nala Red Wine 750ml Discovery Vineyards Range,575,12.5%,,,"Nala Red Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
87,Wine,Shahrazade Red Wine 750ml,240,12.5%,,,"Shahrazade Red Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
88,Wine,XO Red Wine 750ml,290,12.5%,,,"XO Red Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
89,Wine,Aria Dolce,450,12.5%,,,"Aria Dolce is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
90,Wine,Aria Rose Sparkling Wine 750ml,450,12.5%,,,"Aria Rose Sparkling Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
91,Wine,Aria White Sparkling Wine 750ml,450,12.5%,,,"Aria White Sparkling Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
92,Wine,Lavita Rose Sparkling Wine 750ml,385,12.5%,,,"Lavita Rose Sparkling Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
93,Wine,Lavita White Sparkling Wine 750ml,385,12.5%,,,Lavita White Sparkling Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
94,Wine,Le Baron Rose Sparkling Wine 750ml,750,12.5%,,,"Le Baron Rose Sparkling Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
95,Wine,Le Baron White Signature Sparkling Wine 750ml,750,12.5%,,,"Le Baron White Signature Sparkling Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
96,Wine,Le Baron White Sparkling Wine 750ml,750,12.5%,,,"Le Baron White Sparkling Wine 750ml is a testament to quality and tradition. A complex blend offering layers of oak, vanilla, and spice. Enjoy responsibly and elevate your next celebration with this exquisite choice."
97,Wine,Valmont Rose Sparkling Wine 750ml,400,12%,,,"Valmont Rose Sparkling Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
98,Wine,Valmont White Sparkling Wine 750ml,400,12%,,,Valmont White Sparkling Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
99,Wine,Abarka Wine 750ml,240,12.5%,,,"Abarka Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
100,Wine,Baila White Wine 750ml Discovery Vineyards Range,525,12.5%,,,Baila White Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
101,Wine,Beausoleil Port Style Wine 750ml,375,12.5%,,,"Beausoleil Port Style Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
103,Wine,Beausoleil White Wine 750ml,375,12.5%,,,Beausoleil White Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
104,Wine,Cape Bay White Wine 750ml,450,12.5%,,,Cape Bay White Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
105,Wine,Castello Di Trevi White Wine 750ml,400,12.5%,,,"Castello Di Trevi White Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
106,Wine,Chateau Byblos White Wine 750ml Discovery Vineyards Range,475,12.5%,,,Chateau Byblos White Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
107,Wine,Chateau de Grandville White Wine 750ml,550,12.5%,,,Chateau de Grandville White Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
108,Wine,Grand Marquis White Wine 750ml,340,12.5%,,,Grand Marquis White Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
109,Wine,Jardin du Nil White Wine 750ml,400,12.5%,,,Jardin du Nil White Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
110,Wine,Lavita White Sparkling Wine 750ml,385,12.5%,,,"Lavita White Sparkling Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
111,Wine,Le Baron White Sparkling Wine 750ml,750,12.5%,,,Le Baron White Sparkling Wine 750ml is a testament to quality and tradition. A full-bodied and elegant vintage with notes of dark berries and a smooth finish. Enjoy responsibly and elevate your next celebration with this exquisite choice.
112,Wine,Nala White Wine 750ml Discovery Vineyards Range,550,12.5%,,,"Nala White Wine 750ml Discovery Vineyards Range is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
113,Wine,Omar Khayyam White Wine 750ml,260,12.5%,,,"Omar Khayyam White Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
114,Wine,Shahrazade Abarka Sweet Red Wine 750ml,230,12.5%,,,"Shahrazade Abarka Sweet Red Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
116,Wine,Shahrazade White Wine 750ml,240,12.5%,,,"Shahrazade White Wine 750ml is a testament to quality and tradition. Perfectly balanced with a lingering, velvety mouthfeel. Enjoy responsibly and elevate your next celebration with this exquisite choice."
117,Wine,Shahrazade White Wine 750ml,290,12.5%,,,XO White Wine 750ml is a testament to quality and tradition. Crisp and refreshing with hints of citrus and a floral bouquet. Enjoy responsibly and elevate your next celebration with this exquisite choice.
